name,city,countryOne,code,lat,lon,type,countryTwo,id
Matagami Airport,Matagami,Canada,YNM,49.76169968,-77.80280304,air,,8b0dd34e-1f12-444b-964d-e7c672b4a21d
Old Crow Airport,Old Crow,Canada,YOC,67.57060242,-139.8390045,air,,692084cf-bcbf-4030-a754-a723469e957f
CFB Cold Lake,Cold Lake,Canada,YOD,54.40499878,-110.2789993,air,,6f7f7b3b-57bd-4db6-8e33-4e28ca38bdfe
High Level Airport,High Level,Canada,YOJ,58.62139893,-117.1650009,air,,2a2dc33f-0b04-4f78-958c-f158a243e995
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.32249832,-75.66919708,air,,415d9f02-f1c9-4e84-8be8-e961aceb2601
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.21419907,-105.6729965,air,,e0f7d67d-5c8f-4903-b549-be917b0fb0fa
Peace River Airport,Peace River,Canada,YPE,56.226898,-117.446999,air,,1ad9d121-f2cc-43ad-b808-154961198585
Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817,air,,0863f705-019d-4588-9f2d-4007dcc48bce
Pitt Meadows Airport,Pitt Meadows,Canada,,49.21609879,-122.7099991,air,,fd790de8-f088-48f7-a5e8-8d457ef9cc5a
Pickle Lake Airport,Pickle Lake,Canada,YPL,51.44639969,-90.21420288,air,,e299712a-8969-4b4b-8ba2-4f4804392bc7
Port Menier Airport,Port Menier,Canada,YPN,49.83639908,-64.28859711,air,,7b6dc174-e5a6-4496-a5b5-3b671400fca5
Peterborough Airport,Peterborough,Canada,YPQ,44.22999954,-78.36329651,air,,ae3fa880-29ca-4c9a-939b-b232c35d6e8e
Prince Rupert Airport,Prince Pupert,Canada,YPR,54.28609848,-130.4450073,air,,3a0569e1-c78b-48a1-be9d-d1e0e0cc3f16
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.76720047,-111.1169968,air,,03ed8e3f-525d-40c5-b9bd-3f1d390ee678
Muskoka Airport,Muskoka,Canada,YQA,44.97470093,-79.30329895,air,,1aaf595a-c502-4dae-a19c-a0b5f44f34fb
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303,air,,17132d04-115c-499e-a24b-0516f3498644
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220139,-113.8939972,air,,33f9a648-8015-47ec-b9d7-79ec67b39293
Windsor Airport,Windsor,Canada,YQG,42.27560043,-82.95559692,air,,bae46c88-9a78-4b4e-b560-c77e5091e618
Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167,-128.8220062,air,,165f48f8-ebce-45fe-b27d-6cd34a66bfe0
Kenora Airport,Kenora,Canada,YQK,49.78829956,-94.36309814,air,,3bc87d9d-4379-49ae-bc84-f8dabc37127a
Lethbridge County Airport,Lethbridge,Canada,YQL,49.63029861,-112.8000031,air,,3a8df6d2-a640-4d66-a72f-b158b3d86031
Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169,-64.6785965,air,,87bb5448-c5e8-43bd-9993-e3ada5922909
Comox Airport,Comox,Canada,YQQ,49.71080017,-124.887001,air,,ed63aa0f-8f1d-4450-9d93-eeadc1731021
Regina International Airport,Regina,Canada,YQR,50.43190002,-104.6660004,air,,368bccc6-e7f0-4f72-a104-460bd231e8af
Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865,-89.32389832,air,,eb153a7e-4b3b-40dc-8204-aee23bba03fe
Grande Prairie Airport,Grande Prairie,Canada,YQU,55.17969894,-118.8850021,air,,8d02c9a1-e80f-4dff-97d0-fed9926e11f1
Yorkton Municipal Airport,Yorkton,Canada,YQV,51.26470184,-102.461998,air,,ca411d55-2bd5-44c0-8e32-e040480e06ad
North Battleford Airport,North Battleford,Canada,YQW,52.76919937,-108.2440033,air,,c1762e5e-e4bb-4323-8936-8b3e40e44980
Gander International Airport,Gander,Canada,YQX,48.93690109,-54.56809998,air,,85c43014-1e70-4e62-b56b-d9af8b07a13a
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798,air,,f2296ec3-d9b5-4c4c-9b99-52d2cbe0e91b
Quesnel Airport,Quesnel,Canada,YQZ,53.02610016,-122.5100021,air,,58776f0f-26cc-410c-b2da-db1cea6f4d73
Resolute Bay Airport,Resolute,Canada,YRB,74.71690369,-94.9693985,air,,38dbf45e-517f-47de-95a3-69641750759e
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.76440048,-69.58470154,air,,936d0db1-4bd9-4311-9661-69f79d0c63d6
Roberval Airport,Roberval,Canada,YRJ,48.52000046,-72.26560211,air,,33afad29-0982-43b4-b457-478df34af4f9
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.42969894,-114.9039993,air,,04946909-48f2-4080-ba16-c8909d877571
